title,info,area,year,room,elevator,parking,warehouse,deposit,rent,status,for,use-case,floor,description,advertiser,balcony,area2
اجاره حیاط راه جدا در آخر خیابان سلیمان خاطر,۲ ساعت پیش در تبریز | اجاره خانه و ویلا,۱۰۰,قبل از ۱۳۷۰,۱,,پارکینگ,انباری,۱۵۰٬۰۰۰٬۰۰۰ تومان,۳٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,,"سلام 
لطفا متن آگهی را خوب مطالعه کنید 
حیاط دو طبقه دو کله ( شمالی و جنوبی ) که قسمت شمالی ( همکف ) به اجاره واگذار میشود 
حیاط بزرگ و جادار برای پارکینگ ۲ خودرو 
نما سه سانتی 
پارسال تعمیر کلی شده است 
سرویس بهداشتی در حیاط میباشد با آب گرم 
برق جدا 
تلفن دارد 
آب و گاز مشترک ( در صورت درخواست قبض های قبلی قابل رویت هست )
طبقه بالا ( جنوبی ) دو نفر هستند 
تک خوابه بزرگ دارد ۱۸ متر 
پذیرایی ۵۰ متر 
کف کلا موکت 
پرده عمودی 
پنجره ها فلزی 
آشپزخانه ۱۲ متر ( پنجره رو به کوچه دارد ) 
کابینت فلزی 
تراس بزرگ دارد 
نهایتا به سه نفر اجاره داده خواهد شد 
 آدرس آخر خیابان سلیمان خاطر 
کوچه روبه روی خدمات شهری شهرداری ( روبه اتوبان کسایی ) کوچه ۱۲ متری خلوت و سرسبز 

لطفا فقط در چت دیوار یا تماس از ساعت ۱۰ صبح الی ۱۴ و عصرها از ساعت ۱۹ الی ۲۲ 

با تشکر از برنامه دیوار",بالکن,۱۷۰,
آپارتمان 70متردوخوابه سهند فاز3,۲ ساعت پیش در تبریز | اجاره آپارتمان,۷۰,۱۳۹۵,۲,آسانسور,پارکینگ,انباری,۳۰٬۰۰۰٬۰۰۰ تومان,۱٬۲۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,مشاور املاک,۴ از ۵,آپارتمان 70متردوخوابه سهند فاز3 مجتمع48واحدی صنم طبقه4دونبش باویوی باز، دارای کمدوکابینت لوکس، انباری درهمان طبقه واقع شده، دارای پکیج ورادیاتور، دارای تراس بزرگ، کف موکت، پارکینگ محوطه مجتمع، کلا مجتمع دوبلوک، آرام و ساکت، بدون مزاحمت، نقاشی شده، نزدیک به خیابان اصلی و اتوبان جدید و درمانگاه ومدرسه ومجتمع تجاری,,,
رهن کامل آپارتمان 110 متری ولیعصر رودکی,۲ ساعت پیش در تبریز | اجاره آپارتمان,۱۱۰,۱۳۸۵,۲,آسانسور,پارکینگ,انباری,۶۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,,۶ از ۶,"⭐️⭐️⭐️ املاک اویم وار ⭐️⭐️⭐️
رهن کامل آپارتمان 110 متری ولیعصر رودکی 
♠ متراژ : 110 متر 
♠ دو خواب 
♠ 3 واحده 
♠ طبقه 6
♠ بدون شیب و پرتی 
♠ دارای دو بالکن
♠ دارای درب ضد سرقت ، نور مخفی 
♠ فول نصبیات : بازسازی شده 
♠ کف پارکت و کاغذ دیواری نو 
♠ ویو باز - دید برج تجارت جهانی 
------------------------------------------------------------------------
⚜ برای کسب اطلاعات بیشتر از فایل های مشابه دیگر 
 با کارشناس مربوطه تماس حاصل فرمائید . 
⚜ آدرس دفتر مرکزی : تبریز ، شهرک یاغچیان ، خیابان نور ،
جنب بوستان نور ، املاک اویم وار ⚜
--------------------------------------------------------------------------
لطفا فقط با شماره موبایل زیر تماس حاصل فرمایید :
کارشناس فروش : مهندس باربد 09140676279",,,اویم وار
آپارتمان ۱۱۰ متر در باغمیشه شیت ۱,۲ ساعت پیش در تبریز | اجاره آپارتمان,۱۱۰,۱۳۹۲,۲,آسانسور,پارکینگ,انباری ندارد,۲۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,,۸,"—« مـشاوریـن امـلاک تـخصصــی ایـران زمـین »—

⭕️‌ کـد مـلـک ۱۰۷۶۸
هنگام تماس کد آگهی را به خاطر بسپارید.
—— —— —— —— ——
یک واحد آپارتمان واقع در بهترین نقطه باغمیشه شیت ۱ خیابان گلگشت
⁦✅⁩طبقه هشتم
✅متراژ ۱۱۰
✅دو خواب
⁦✅⁩آسانسور دارد
⁦✅⁩پارکینگ دارد
✅انباری ندارد
⁦✅⁩کف سرامیک
⁦✅⁩کابینت کمد
⁦✅⁩نقاشی
✅پکیج
✅سند ششدانگ⁩
⁦✅⁩هر طبقه ۱ واحد
⁦✅⁩شخصی ساز
⁦✅⁩قطعه دوکله
✅درب ریموت
⁦✅⁩تراس دار
✅ویو عالی

✅سال ساخت ۹۲

۲۰۰ میلیون تمام رهن

—« مـشاوریـن امـلاک تـخصصــی ایـران زمـین »—

❗️آدرس املاک : باغمیشه شیت ۴ میدان مادر به طرف چهارراه میثاق

« IranZamin.Tabriz »

فقط با یک‌ تماس واحد خود رو به ما بسپارید و از ما جویا شوید.

آستانی 09307529283
نجفی 09142303369

⏰فروش فوری در عرض ۲۴ ساعت
با کادر مجرب و مشاوره حرفه ای
کارشناسی و قیمت گذاری رایگان

«سریعترین مرکز خرید فروش رهن و اجاره در تبریز»",,,املاک ایران زمین | IranZamin.Tabriz
آپارتمان 72 متر حکم آباد,۲ ساعت پیش در تبریز | اجاره آپارتمان,۷۲,۱۳۸۳,بدون اتاق,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۱۰۰٬۰۰۰٬۰۰۰ تومان,توافقی,غیر قابل تبدیل,خانواده,شخصی,۱,"آپارتمان 72 متر مربع طبقه اول از دو 
کنار خیابان 
ساختمان جنوبی 
رهن کامل داده میشود
قبل از تماس اس ام اس دهید ، با تشکر",,,
واحد ۱۲۰ متری در رشدیه,۲ ساعت پیش در تبریز | اجاره آپارتمان,۱۲۰,۱۴۰۰,۲,آسانسور,پارکینگ,انباری,۵۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,مشاور املاک,۶,"رهن کامل واحد ۱۲۰ متری در رشدیه؛
نصبیات لوکس
پارکت 
کاغذ دیواری
لوستر
پرده
صفر",,,
۷۰ متر آپارتمان ایل گلی ویلاشهر فاز سوم,۲ ساعت پیش در تبریز | اجاره آپارتمان,۷۰,۱۳۹۲,۱,آسانسور ندارد,پارکینگ ندارد,انباری,۱۶۵٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده و مجرد,شخصی,۴ از ۴,"آپارتمان واقع در ویلاشهر فاز سوم اول های فاز سوم 
یه کوی دنج و آرام 
ساختمان ۴ طبقه تک واحدی 
طبقه چهارم 
بدون آسانسور
بدون پارکینگ ولی جلوی خانه جا زیاده واسه پارک ماشین و دوربین مداربسته داره ساختمان خودش امنیت بالاست
با انباری 
حمام و سرویس بهداشتی جدا
آیفون تصویری رنگی 
درب ضد سرقت ترکیه
کف سرامیک 
انشعابات جدا 
تلفن
کمد دیواری خیلی بزرگ 
بالکن خیلی بزرگ
نورگیری عالی
کابینت ام دی اف 
هود 
آبگرمکن 
دوربین مداربسته 
رهن کامل",,,
آپارتمان برج کسری,۲ ساعت پیش در تبریز، میدان ائل گلی (بلوار ائل گلی) | اجاره آپارتمان,۸۵,۱۴۰۰,۲,آسانسور,پارکینگ,انباری ندارد,۳۰۰٬۰۰۰٬۰۰۰ تومان,توافقی,قابل تبدیل,خانواده و مجرد,شخصی,۱ از ۱۱,آپارتمان شیک کلید نخورده صفر ساعت تماس ۹صبح تا ۷ بعد ضهر ساعت بازدید ۹ صبح الی ۵ بعد ضهر,,,
حیاط دربست سرویس کامل,۲ ساعت پیش در تبریز | اجاره خانه و ویلا,۸۰,۱۳۹۵,۱,,پارکینگ,انباری,۱۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,مشاور املاک,,خ آزادی ملت تاکسیرانی ۱۵متری ولی عصر۸متری ۲اب برق گاز تلفن,بالکن ندارد,۹۰,
60اپارتمان طبقه 4 شخصی ساز,۲ ساعت پیش در تبریز، بلوار اندیشه | اجاره آپارتمان,۶۰,۱۳۹۰,۱,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۵۰٬۰۰۰٬۰۰۰ تومان,۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۴ از ۴,کوچه شتاب نظام مهندسی دوبر رو به پارک ولایت ویو عالی شخصی سازه مجتمع نیست کلا 8خانواده کمد کابینت کف موکت گرمایش بخاری,,,
آپارتمان ۸۴متر رجایی شهر,۲ ساعت پیش در تبریز | اجاره آپارتمان,۸۴,۱۴۰۰,۱,آسانسور,پارکینگ,انباری ندارد,۱۰۰٬۰۰۰٬۰۰۰ تومان,۵٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,مشاور املاک,۴,"واحد صفر ۲۰روزه تکمیل شده تحویل میدهد
تک خوابه",,,
خانه شخصی ۵۰ متری,۲ ساعت پیش در تبریز | اجاره خانه و ویلا,۵۰,۱۳۹۰,۱,,پارکینگ ندارد,انباری,۵۰٬۰۰۰٬۰۰۰ تومان,۱٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,,"لطفا خانواده تماس بگیره لطفا
۵۰متر هس واقع در جاده فتح آباد کوچه بهرام جانباز
یک طبقه شخصی",بالکن ندارد,۵۰,
آپارتمان نصف راه کوی نجم جنب بازار ستاره باران,۲ ساعت پیش در تبریز | اجاره آپارتمان,۶۵,۱۳۹۱,۱,آسانسور,پارکینگ,انباری ندارد,۵۰٬۰۰۰٬۰۰۰ تومان,۴٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۲ از ۷,"آپارتمان هم جنوبی وهم شرقی هست یعنی موقعی که پنجره های روبه کوچه وسمت دیگر باز هستند داخل خانه جریان هوای خوبی وجود دارد وداخل خانه از هیچ جا ومنزل وساختمانی در معرض دید ومشاهده نیست.
سقف کاذب ونور مخفی وباکس تلویزیون دارد.
پارکت دارد.
پکیج دیجیتالی ورایاتور دارد.
داخل خانه آفتاب خور هست وخیلی روشن هست.
نزدیک به بازار ستاره باران وهایپر مارکت ومرکز خرید وتفریح هست.
نزدیک ایستگاه اتوبوس وتاکسی تلفنی هست.
کمد وکابینت درجه یک وزیادی دارد.
برای لباسشویی وظرفشویی در آشپزخانه جا دارد.
گاز رومیزی دارد.
هود دارد.
لوستر در حال وپذیرایی دارد.
به کوچه پنجره دارد ودلباز هست.
خط تلفن دارد.
اینترنت براحتی میشود فعال کرد.
برق وگاز وآب جدا هست.
شارژ ۱۰۰ تومنی هر ماه به مدیریت باید پرداخت شود.
به هیچ عنوان به افراد مجرد چه خانوم وچی آقا در هر شغل داده نمیشود چون مجتمع کلا خانوادگی هستند وهمه همسایه ها متاهل دوست دارند.",,,
اپارتمان ۸۵ متری در مجتمع باران کوی لاله,۲ ساعت پیش در تبریز | اجاره آپارتمان,۸۵,۱۳۸۶,۲,آسانسور,پارکینگ,انباری ندارد,۱۶۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده و مجرد,مشاور املاک,۲,"اپارتمان فوق دارای کف سرامیک و دیوار ها کاغذ دیواری و سیستم گرمایش پکیج می باشد 
املاک اسکان خطیبی به ادرس خطیب نرسیده به میدان رسالت در خدمت همشهریان عزیز می باشد",,,
واحد آپارتمان 80مترمربع دوخوابه دارای کمد دیواری,۲ ساعت پیش در تبریز، خیابان شهناز (بلوار آزادی) | اجاره آپارتمان,۸۰,۱۳۹۲,۲,آسانسور,پارکینگ,انباری ندارد,۴۰٬۰۰۰٬۰۰۰ تومان,۴٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۱۳ از ۱۵,آپارتمان مورد اجاره واقع در تبریز آخر شهناز برجهای دوقلو زمرد طبقه 13غربی-جنوبی,,,
۷۵ متر نعمت آباد باسمنج,۳ ساعت پیش در تبریز | اجاره آپارتمان,۷۵,۱۳۸۹,۱,آسانسور ندارد,پارکینگ ندارد,انباری,۲۵٬۰۰۰٬۰۰۰ تومان,۲٬۳۵۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,همکف,"خانه یک طبقه جنوبی

دارای کمد دیواری درجه یک

کابینت درجه یک

حیاط ۱۲ متری

نورگیری عالی از دوطرف 

ورودی بزرگ

حمام و دستشویی باهم


انشعابات کامل

تا سه متری خونه ماشین رو 

همسایگان خوب و با فرهنگ

دسترسی آسان به فروشگاه های مواد غذایی پروتئینی نانوایی تاکسی تلفنی
 
آدرس : بعداز شهرک خاوران روبروی کلانتری باسمنج کوی ویلایی نعمت آباد
 کوچه ابریشم ۶ (بهارستان سابق)
بازدید با هماهنگی قبلی",,,
فاز2 سهند,۳ ساعت پیش در تبریز | اجاره آپارتمان,۷۲,۱۳۹۲,۲,آسانسور,پارکینگ ندارد,انباری,۶۰٬۰۰۰٬۰۰۰ تومان,۲۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۳ از ۴,"فوری
نزدیک به مراکز خرید و درمانی 
دارای کمد دیواری کافی
پرده
ویو ابدی",,,
برج شهریار ۱۱۷ متر,۳ ساعت پیش در تبریز، جاده ارتباطی نصر و مرزداران (کوچه باقرخان سوم غربی) | اجاره آپارتمان,۱۱۷,۱۳۹۸,۲,آسانسور,پارکینگ,انباری,۵۰٬۰۰۰٬۰۰۰ تومان,۵٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۶ از ۱۲,مرزداران برج شهریار با تمامی امکانات از دو طرف روشنایی بازدید ۶ به بعد,,,
اپارتمان دامپزشکی,۳ ساعت پیش در تبریز | اجاره آپارتمان,۸۵,۱۳۹۵,۲,آسانسور,پارکینگ,انباری,۱۰۰٬۰۰۰٬۰۰۰ تومان,۳٬۳۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۱ از ۴,"دارای
*اسانسور
*پارکینگ ریموت دار
*تراس
*پکیج
*دو خابه
*نور مخفی
*دو واحده(بین واحدا دیوار مشترکی نیس)
به خانواده ۲نهایت ۳نفری واگذار میشه
ادرس:دامپزشکی-کوی گلپارک(شنب غازان سابق)-کوچه منظوری",,,
آپارتمان ۸۵ متر الهیه,۳ ساعت پیش در تبریز | اجاره آپارتمان,۱۲۵,۱۳۹۷,۳,آسانسور,پارکینگ,انباری,۶۰٬۰۰۰٬۰۰۰ تومان,۴٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,مشاور املاک,۱ از ۵,همه مشخصات درج شده فقط و فقط به خانواده داده میشود,,,
آپارتمان در شهر جدید سهند فاز 2 مجتمع نگین 2,۳ ساعت پیش در تبریز | اجاره آپارتمان,۶۰,۱۳۸۳,۱,آسانسور ندارد,پارکینگ,انباری ندارد,۱۱۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,شخصی,۱,در بهترین فاز سهند با فضای عالی وامنیت دارای پرده وموکت کمد دیواری وکابینت,,,
آپارتمان 90 متری واقع در شهرک امام تبریز,۳ ساعت پیش در تبریز | اجاره آپارتمان,۹۰,قبل از ۱۳۷۰,۲,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۶۵٬۰۰۰٬۰۰۰ تومان,۲٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,۳,"یک واحد آپارتمان 90 متری واقع در تبریز-شهرک امام (خانه سازی) - کوی فرهنگیان- بلوک 107-راه پله دوم طبقه چهارم
دارای آب و برق و تلفن مستقل و گاز مشترک
سرویس بازسازی شده و دیوارهای ورود به هال و ورود به آشپزخانه برداشته شده، سیم کشی توکار
دارای کابینت آشپزخانه چوبی رنگ شده
دارای کرکره عمودی در همه پنجره ها
کف موکت (حتی آشپزخانه)
کمد سرتاسری به عمق 90 سانت در اتاق خواب که شما را از داشتن انباری بی نیاز می کند
روبروی ایستگاه اتوبوس شهرک امام (خط 111) و اره گر (خط 123)
مشرف به محل خرید و دسترسی آسان به هر نوع کالای ضروری
صبح آفتاب از پنجره آشپزخانه و عصر از پنجره پذیرایی می تابد
بدون نیاز به کولر، تنها کافی است دو تا پنجره از شمال و جنوب باز شود باد خنک در خانه می وزد
بدون نیاز به وسایل حرارتی چون حرارت طبقات پایین در خانه است
بدون هزینه پارکینگ: چون محوطه هایی در داخل کوی برای پارک خودروی شما فراهم است
امنیتی عالی- محیطی آرام-همسایگانی با فرهنگ",,,
آپارتمان ۱۵۰ متری گلشهر,۳ ساعت پیش در تبریز | اجاره آپارتمان,۱۵۰,۱۳۸۷,۳,آسانسور,پارکینگ,انباری,۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,۱,"گرمایش از کف
کاغذ دیواری
پذیرایی کف سنگ ، خواب ها پارکت
مناسب عروس و داماد",,,
آپارتمان ۱۳۰متر یکه دکان شهید قره باغی,۳ ساعت پیش در تبریز | اجاره آپارتمان,۱۳۰,۱۳۹۵,۲,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۱۵۰٬۰۰۰٬۰۰۰ تومان,۱٬۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۲ از ۲,آب برق گاز جدا,,,
آپارتمان در باغمیشه,۳ ساعت پیش در تبریز | اجاره آپارتمان,۱۰۵,۱۳۹۴,۲,آسانسور,پارکینگ,انباری ندارد,۱۵۰٬۰۰۰٬۰۰۰ تومان,۲٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,مشاور املاک,۲,"آپارتمان واقع در باغمیشه نارمک ۷
طبقه دوم 
هر طبقه دو واحده 
شمالی 
نصبیات کامل(اسانسور،پارکینگ،پکیج،کابینت)
مشاور املاک طلائیه
۰۹۰۳۴۲۳۵۷۸۰",,,
آپارتمان ۱۱۰متر در باران یاغچیان,۳ ساعت پیش در تبریز، میدان یاغچیان (بلوار یاغچیان) | اجاره آپارتمان,۱۱۰,۱۳۹۶,۲,آسانسور,پارکینگ,انباری,۴۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,مشاور املاک,۲ از ۱۴,آپارتمان در برج باران فلکه یاغچیان بمتراژ ۱۱۰متر دارای تمام امکانات آسانسور پارکینگ انباری کمک کابینت هایگلس کف پارکت ویو عالی فورا برهن کامل یا ۳۵۰م رهن ۱.۵م اجاره تبدیل و واگزار میگردد.باتشکر نیکوند,,,
آپارتمان ۱۴۰متر,۳ ساعت پیش در تبریز | اجاره آپارتمان,۱۴۰,۱۳۹۷,۲,آسانسور,پارکینگ,انباری,۳۵۰٬۰۰۰٬۰۰۰ تومان,۳٬۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده و مجرد,مشاور املاک,۲,۱۴۰ متر دو خوابه طبقه ۳ فول نصبیلت تمیز,,,
خانه شخصی شنب غازان,۳ ساعت پیش در تبریز | اجاره خانه و ویلا,۱۰۰,۱۳۸۵,۱,,پارکینگ ندارد,انباری,۲۲۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,شخصی,,خانه شخصی واقع در شنب غازان کوچه پایین به متراژ ۱۰۰ متر دارای کمد دیواری و کابینت تکمیل جای پارک جلوی در هست محله ای آرام مناسب خانواده با تشکر,بالکن,۱۰۰,
۸۳ متر آپارتمان در مرزداران,۳ ساعت پیش در تبریز | اجاره آپارتمان,۸۳,۱۳۹۲,۲,آسانسور,پارکینگ,انباری,۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۱ از ۶,تمیز باهمسایگان بافرهنگ وعالی,,,
آپارتمان اندیشه,۳ ساعت پیش در تبریز | اجاره آپارتمان,۵۵,۱۳۸۸,۱,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۴۰٬۰۰۰٬۰۰۰ تومان,۴۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,۱ از ۴,اندیشه مجتمع سلحشوران طبقه اول دارای کمد وکابینت تمیز با این شماره تماس بگیرید ۰۹۳۶۶۶۱۶۰۰۹,,,
اپارتمان ۱۱۵ متری در مرزداران,۳ ساعت پیش در تبریز | اجاره آپارتمان,۱۱۵,۱۳۹۶,۲,آسانسور,پارکینگ,انباری,۳۳۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,,۴,"واحد ۱۱۵ متری در مرزداران 
طبقه ۴ از ساختمان ۴ طبقه 
جنوبی 
تک واحدی پارکت 
کاغذ دیواری 
اجاق گاز 
آسانسور 
پارکینگ 
انباری 

 ⏪شماره تماس :۰۹۱۴۸۷۶۰۸۲۲

⏪آدرس دفتر : نصر خیابان دانشگاه جنوبی تقاطع دانشگاه",,,بازرگانی املاک دلتا
